Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Graphic Designer," 2,75,000 - 5,50,000 PA. ",2,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Delhi
Full Stack Developer," 5,00,000 - 13,00,000 PA. ",3,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Chandigarh
Asp.net Developer," 2,00,000 - 4,50,000 PA. ",2,"ASP.NET, C#, SQL Server, Web Development, MVC",Software Developer,Bengaluru
Head," 8,00,000 - 10,00,000 PA. ",10,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head / Strategy,Bengaluru
Recruitment Consultant," 1,50,000 - 3,00,000 PA. ",3,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Delhi
Regional Sales Manager," 12,00,000 - 19,00,000 PA. ",9,"Communication, CRM, Negotiation, Lead Generation",Regional Sales Manager,Delhi
Sr Java Developer," 5,00,000 - 15,00,000 PA. ",5,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Chennai
Sales," 2,50,000 - 7,50,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Sales,Delhi
Sales Executive," 1,75,000 - 2,50,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Ahmedabad
Secretary," 4,00,000 - 5,00,000 PA. ",5,"Scheduling, Communication, Document Management, Meeting Coordination, Office Support",Secretary,Mumbai
Job Description," INR 2,25,000 - 7,25,000 PA.",0,"Job Analysis, Requirement Gathering, Recruitment Coordination",HR Executive,Delhi
Business Development Manager," 5,00,000 - 12,00,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales / Business Development Manager,Mumbai
Retail Operations Manager," 8,50,000 - 12,00,000 PA. ",7,"Process Improvement, Team Leadership, Budget Management, Logistics, Vendor Management",Sales Promotion Manager,Gurgaon
Urgent Opening For Sales," 1,50,000 - 2,75,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Kolkata
Product Manager," 18,00,000 - 25,00,000 PA. ",3,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",Product Manager,Bengaluru
Sales Manager," 10,00,000 - 15,00,000 PA. ",7,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Ahmedabad
Accounts & Finance Executive," 2,00,000 - 3,50,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Finance Executive,Gurgaon
Sales Executive," 3,00,000 - 3,50,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Mumbai
Business Development Executive," 2,25,000 - 3,25,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Mumbai
Sr. Business Development Manager," 15,00,000 - 20,00,000 PA. ",15,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Sales Executive," 5,00,000 - 12,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Sales,Bengaluru
Accounts & Finance Manager," 10,00,000 - 14,00,000 PA. ",7,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Mumbai
Android Developer," 4,50,000 - 6,50,000 PA. ",2,"Android SDK, Java, Kotlin, Mobile App Development, Firebase",Software Developer,Gurgaon
Business Development," 3,00,000 - 8,00,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Bengaluru
Customer Service Associate," 1,75,000 - 3,00,000 PA. ",0,"Customer Interaction, CRM, Communication, Complaint Resolution, Problem Solving",Associate / Senior Associate -(NonTechnical),Noida
Trainee," 7,50,000 - 9,00,000 PA. ",0,"On-the-Job Training, Documentation, Communication, Team Collaboration",Trainee,Hyderabad
Digital Marketing Manager," 8,00,000 - 13,00,000 PA. ",7,"Digital Marketing, SEO, Content Creation, Campaign Management",Marketing Manager,Ahmedabad
Manager," 6,00,000 - 10,00,000 PA. ",7,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Sales / Business Development Manager,Pune
Instructional Designer," 6,00,000 - 9,00,000 PA. ",2,"Curriculum Design, eLearning Development, Storyboarding, Articulate Storyline",Instructional Designer,Hyderabad
Business Analyst," 5,00,000 - 14,00,000 PA. ",3,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Pune
Branch Manager," 2,50,000 - 3,75,000 PA. ",3,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Branch Manager,Ahmedabad
Warehouse Manager," 3,75,000 - 5,00,000 PA. ",5,"Inventory Management, Supply Chain, Logistics, ERP Systems",Warehouse Manager,Delhi
Business Analyst," 20,00,000 - 35,00,000 PA. ",8,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Bengaluru
Business Analyst," 4,75,000 - 5,50,000 PA. ",3,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Data Analyst,Delhi
Content Writer," 3,75,000 - 4,50,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Content Developer,Delhi
Am," 5,00,000 - 14,00,000 PA. ",3,"Team Coordination, Administrative Support, Reporting, Process Handling",Data Analyst,Bengaluru
Sales Coordinator," 2,75,000 - 3,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Ahmedabad
Manager Indirect Taxation," 4,50,000 - 6,00,000 PA. ",8,"GST, VAT, Indirect Tax Compliance, Return Filing, Tally ERP",Taxation(Direct) Manager,Hyderabad
Business Development Manager," 10,00,000 - 20,00,000 PA. ",8,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Pune
Executive Assistant," 4,50,000 - 6,00,000 PA. ",4,"Scheduling, Calendar Management, Meeting Coordination, Communication, Travel Planning",Executive / Sr Executive - Administration,Gurgaon
Customer Support Engineer," 3,25,000 - 6,00,000 PA. ",3,"Customer Interaction, Problem Solving, Communication Skills, CRM Tools, Ticketing Systems",Customer Support Engineer,Mumbai
Sales Executive," 2,00,000 - 3,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Chennai
IOS Developer," 2,00,000 - 6,00,000 PA. ",1,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Gurgaon
Branch Manager," 7,00,000 - 8,50,000 PA. ",7,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Branch Manager,Mumbai
System Administrator," 2,25,000 - 2,50,000 PA. ",2,"Linux/Windows Admin, Network Configuration, Server Maintenance, Security",System Administrator,Bengaluru
Executive," 4,00,000 - 9,00,000 PA. ",5,"Communication, Coordination, Data Entry, Reporting, Office Administration",Purchase / Vendor Development Manager,Thane
Medical Coder," 2,00,000 - 3,50,000 PA. ",0,"ICD-10, CPT, Medical Terminology, Healthcare Compliance",Medical Transcriptionist,Noida
Area Manager," INR 9,00,000 - 13,00,000 PA.",5,"Multi-Unit Operations, Team Management, Sales Strategy, Performance Monitoring",Sales / Business Development Manager,Delhi
Recruiter," 2,00,000 - 4,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Bengaluru
Sales Engineer," 2,00,000 - 2,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Mumbai
Accounts Manager," 3,00,000 - 5,00,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Client Servicing / Key Account Manager,Mumbai
Full Stack Developer," 12,00,000 - 22,00,000 PA. ",4,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Gurgaon
Branch Accountant," 1,25,000 - 1,50,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Hyderabad
Software Developer," 3,00,000 - 3,50,000 PA. ",2,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Chennai
Senior Process Executive," 1,50,000 - 3,50,000 PA. ",0,"Process Improvement, Operations Management, Reporting, SLA Management",Senior Associate -(NonTechnical),Pune
Senior Sales Manager," 3,00,000 - 6,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Noida
Chartered Accountant," 1,00,000 - 5,00,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Chartered Accountant,Delhi
Technical Sales Executive," 1,50,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Senior Associate -(NonTechnical),Delhi
Field Sales Associate For Education Sector," 2,50,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Mumbai
System Administrator," 3,00,000 - 5,00,000 PA. ",2,"Linux/Windows Admin, Network Configuration, Server Maintenance, Security",System Administrator,Bengaluru
PHP Developer," 2,00,000 - 7,00,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Mumbai
Sales Manager," 16,00,000 - 20,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Sales Promotion Manager,Mumbai
Customer Service Executive," 1,00,000 - 2,00,000 PA. ",0,"Customer Support, Call Handling, CRM, Issue Resolution",Telemarketing Executive,Bengaluru
Graphic Designer," 50,000 - 2,25,000 PA. ",0,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Mumbai
IT Manager," 12,00,000 - 17,00,000 PA. ",8,"Networking, System Administration, Security, Technical Support, Cloud Computing",Product Manager,Gurgaon
Analyst," 2,00,000 - 3,00,000 PA. ",0,"Data Analysis, Excel, Reporting, Problem Solving, Presentation Skills",GM-Investment Banking,Mumbai
Service Engineer," 90,000 - 1,25,000 PA. ",0,"Equipment Maintenance, Troubleshooting, Customer Support, Installation, Technical Support",Service / Maintenance Engineer,Delhi
Developer," 10,00,000 - 20,00,000 PA. ",4,"Programming, Debugging, Software Development, Version Control",Software Developer,Chennai
Sales Executive," 1,50,000 - 3,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Senior Software Engineer," 12,00,000 - 15,00,000 PA. ",5,"Programming, Software Development, Debugging, SDLC",Software Developer,Pune
Regional Manager," 4,25,000 - 9,25,000 PA. ",4,"Territory Management, Sales Targets, Team Supervision, Strategy Execution",Regional Manager,Bengaluru
Tele Sales Executive," 2,50,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Delhi
Sales Manager," INR 3,00,000 - 7,00,000 PA.",3,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Senior Manager HR," 8,50,000 - 10,00,000 PA. ",15,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Faridabad
Full Stack Developer," 3,00,000 - 7,00,000 PA. ",4,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Chennai
Dot Net Developer," 2,00,000 - 3,00,000 PA. ",1,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Chennai
Area Sales Manager," 1,75,000 - 5,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
Executive," 2,00,000 - 3,00,000 PA. ",1,"Communication, Coordination, Data Entry, Reporting, Office Administration",HR Executive,Mumbai
Technical Support Engineer," 2,00,000 - 4,00,000 PA. ",2,"Troubleshooting, Customer Service, Hardware Support, Software Support",Customer Support Engineer,Pune
IOS Developer," 1,50,000 - 6,00,000 PA. ",1,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Hyderabad
Senior Sales Executive," 1,25,000 - 3,50,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Inside Sales Executive," 5,00,000 - 7,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Gurgaon
Manager," 4,00,000 - 6,00,000 PA. ",10,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Security Manager,Pune
Business Development Manager," 10,00,000 - 15,00,000 PA. ",5,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Business Development Manager," 3,50,000 - 4,50,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Business Development Manager," 8,00,000 - 12,00,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Alliances Manager,Bengaluru
Consultant," 5,00,000 - 15,00,000 PA. ",3,"Client Advisory, Business Analysis, Reporting, Strategy Development",ERP Consultant,Hyderabad
Medical Coder," 1,75,000 - 2,00,000 PA. ",0,"ICD-10, CPT, Medical Terminology, Healthcare Compliance",Medical Writing,Ahmedabad
Mechanical Engineer," 2,00,000 - 2,75,000 PA. ",0,"AutoCAD, SolidWorks, Thermodynamics, Product Design, Manufacturing",Industrial Engineer,Bengaluru
Business Development Executive," 6,00,000 - 12,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Mumbai
Accounts Executive," 1,00,000 - 2,75,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Delhi
Assistant Manager," 6,00,000 - 10,00,000 PA. ",6,"Team Coordination, Process Management, Reporting, Operations Support",Analytics Manager,Pune
Core Java Developer," 6,00,000 - 9,00,000 PA. ",2,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Mumbai
Production Manager," 2,50,000 - 4,00,000 PA. ",7,"Production Planning, Quality Control, Team Supervision, Inventory Management, Cost Reduction",Production Manager,Mumbai
Manager," 8,00,000 - 9,00,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Audit Manager,Chennai
Lead Software Engineer," 10,00,000 - 19,00,000 PA. ",10,"Programming, Software Development, Debugging, SDLC",Team Lead / Technical Lead,Hyderabad
HR Generalist," 4,00,000 - 8,00,000 PA. ",3,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Noida
PHP Developer," 1,00,000 - 2,50,000 PA. ",1,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Noida
Manager," 4,00,000 - 7,00,000 PA. ",6,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",HR Manager,Mumbai
Back Office," 1,25,000 - 2,25,000 PA. ",0,"Data Entry, File Management, Admin Support, MS Office",Officer,Chandigarh
Sales Manager," 2,50,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Indore
Junior Accountant," 1,50,000 - 1,75,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Delhi
Senior Software Engineer," 7,00,000 - 17,00,000 PA. ",4,"Programming, Software Development, Debugging, SDLC",Software Developer,Bengaluru
Manager," 12,00,000 - 13,00,000 PA. ",7,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Area Sales Manager,Delhi
Sales Manager," 2,00,000 - 5,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Asst Manager," 1,50,000 - 3,25,000 PA. ",2,"Team Coordination, Process Management, Reporting, Operations Support",Treasury Manager,Chennai
Telecalling Executive," 90,000 - 1,00,000 PA. ",1,"Outbound Calling, Communication, Sales Pitching, Lead Generation",Telemarketing Executive,Pune
Sales Engineer," 2,50,000 - 7,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
Product Owner," 8,00,000 - 13,00,000 PA. ",5,"Agile, Product Backlog, User Stories, Stakeholder Communication",Product Manager,Mumbai
Project Manager," 10,00,000 - 13,00,000 PA. ",2,"Project Planning, Risk Management, Stakeholder Communication, Agile, Budgeting",Project Manager-IT,Mumbai
Technical Manager," 10,00,000 - 20,00,000 PA. ",8,"Project Management, Technical Oversight, Team Leadership, Agile",Project Manager-IT,Bengaluru
Mean Stack Developer," 2,00,000 - 6,00,000 PA. ",1,"MongoDB, Express.js, Angular, Node.js, JavaScript",Software Developer,Noida
System Administrator," 1,75,000 - 2,25,000 PA. ",2,"Linux/Windows Admin, Network Configuration, Server Maintenance, Security",System Administrator,Hyderabad
Senior Executive," 4,00,000 - 6,50,000 PA. ",3,"Team Support, Reporting, Client Handling, Communication, Coordination",Sales Executive,Mumbai
Day Care Teacher," 1,50,000 - 2,25,000 PA. ",0,"Child Care, Activity Planning, Classroom Management, First Aid, Parent Communication",DaycareTeacher,Thane
Sales Engineer," 2,00,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Digital Marketing," 4,00,000 - 6,00,000 PA. ",5,"Digital Marketing, SEO, Content Creation, Campaign Management",Mgr-Online / Digital Marketing,Delhi
Chief Technology Officer," 35,00,000 - 50,00,000 PA. ",5,"Tech Strategy, Software Architecture, Team Leadership, Innovation",GM-Technology(IT),Mumbai
MIS Executive," 1,50,000 - 2,00,000 PA. ",1,"Excel, Reporting, Data Analysis, MIS Tools",Management Information Systems(MIS)-Manager,Kolkata
Java Developer," 1,00,000 - 6,00,000 PA. ",2,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Noida
Customer Support Executive," 1,50,000 - 3,00,000 PA. ",1,"Customer Interaction, Problem Solving, Communication Skills, CRM Tools, Ticketing Systems",Technical Support Engineer,Hyderabad
Accounts & Finance Executive," 3,00,000 - 5,50,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Chandigarh
Sales Head," 15,00,000 - 20,00,000 PA. ",15,"Communication, CRM, Negotiation, Lead Generation",Head / National Manager -Sales,Noida
Front End Developer," 6,00,000 - 8,00,000 PA. ",2,"HTML, CSS, JavaScript, React, Responsive Design",Software Developer,Bengaluru
Regional Sales Manager," 8,00,000 - 11,00,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Hyderabad
Business Development Executive," 2,00,000 - 6,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Ahmedabad
Sr. Manager," 10,00,000 - 12,00,000 PA. ",10,"Strategic Planning, Team Management, Project Oversight, Budgeting, KPI Monitoring",Accounts Manager,Ahmedabad
Duty Manager," 8,00,000 - 12,00,000 PA. ",5,"Shift Management, Staff Coordination, Customer Service, Incident Reporting",Duty Manager,Bengaluru
Technical Lead," 8,50,000 - 18,50,000 PA. ",8,"Team Leadership, System Architecture, Code Review, Agile Management",Team Lead / Technical Lead,Bengaluru
Backend Developer," 1,50,000 - 3,00,000 PA. ",1,"Node.js, Express, SQL/NoSQL, API Development, Server Management",Software Developer,Bengaluru
Merchandiser," 3,00,000 - 3,75,000 PA. ",2,"Inventory Management, Vendor Coordination, Visual Merchandising, Sales Analysis, Forecasting",Merchandiser,Gurgaon
Manager," 12,00,000 - 15,00,000 PA. ",3,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Finance / Budgeting Manager,Delhi
Medical Officer," 4,00,000 - 5,00,000 PA. ",0,"Patient Care, Medical Diagnosis, Treatment Planning, Medical Reporting",Medical Officer,Hyderabad
Executive," 1,25,000 - 4,00,000 PA. ",0,"Communication, Coordination, Data Entry, Reporting, Office Administration",Telecalling / Telemarketing Executive,Delhi
Senior Executive," 3,00,000 - 3,50,000 PA. ",4,"Team Support, Reporting, Client Handling, Communication, Coordination",Sales Executive,Pune
Medical Coding Jobs," 2,50,000 - 5,00,000 PA. ",0,"ICD-10, CPT, HCPCS, Medical Terminology, Billing, Healthcare Compliance",Medical Officer,Chennai
Team Leader," 6,50,000 - 8,50,000 PA. ",3,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader -(NonTechnical),Delhi
Regional Manager," 6,00,000 - 7,00,000 PA. ",6,"Territory Management, Sales Targets, Team Supervision, Strategy Execution",Business Development Manager,Bengaluru
Manager," 20,00,000 - 25,00,000 PA. ",10,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Finance / Budgeting Manager,Gurgaon
Talent Acquisition Executive," 2,00,000 - 3,50,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",HR Executive,Ahmedabad
Preferred Relationship Manager," 8,00,000 - 15,00,000 PA. ",10,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Wealth Manager,Kolkata
.Net Developer," 3,00,000 - 6,00,000 PA. ",4,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Delhi
Senior Manager," 15,00,000 - 22,50,000 PA. ",6,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Audit Manager,Mumbai
Assistant Sales Manager," 5,00,000 - 9,00,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
Purchase Manager," 12,00,000 - 18,00,000 PA. ",6,"Procurement, Vendor Management, Negotiation, Inventory Control",Purchase / Vendor Development Manager,Mumbai
Senior Executive," 1,00,000 - 4,00,000 PA. ",1,"Team Support, Reporting, Client Handling, Communication, Coordination",Sales Executive,Bengaluru
Corporate Sales Manager," 6,00,000 - 9,50,000 PA. ",8,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Technical Lead," 12,00,000 - 22,00,000 PA. ",10,"Team Leadership, System Architecture, Code Review, Agile Management",Team Lead / Technical Lead,Bengaluru
Assistant Manager," 7,00,000 - 10,00,000 PA. ",5,"Team Coordination, Process Management, Reporting, Operations Support",Manager,Mumbai
System Administrator," INR 4,75,000 - 9,00,000 PA.",5,"Linux/Windows Admin, Network Configuration, Server Maintenance, Security",System Administrator,Hyderabad
Area Sales Executive," 3,00,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Mumbai
Business Analyst," 3,00,000 - 3,50,000 PA. ",0,"Requirement Gathering, Business Process Analysis, Stakeholder Communication, Data Analysis",Business Analyst,Mumbai
Accountant," 1,25,000 - 1,50,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Mumbai
PHP Developer," 1,00,000 - 6,00,000 PA. ",1,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Ahmedabad
Inside Sales Executive," 2,50,000 - 3,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Noida
Tele Sales Executive," 1,50,000 - 2,75,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Telecalling / Telemarketing Executive,Noida
Client Relationship Executive," 2,00,000 - 3,00,000 PA. ",1,"Client Support, Relationship Building, CRM, Communication",Client Servicing / Key Account Manager,Bengaluru
Business Development Executive," 1,50,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Pune
PHP Developer," 2,75,000 - 4,00,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Noida
Urgent Opening for Team Leader," 5,00,000 - 7,50,000 PA. ",5,"Team Leadership, Operations, Reporting, KPI Management",Team Leader -(NonTechnical),Mumbai
Talent Acquisition Executive," 3,00,000 - 4,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",HR Executive,Mumbai
Branch Manager," 10,00,000 - 12,00,000 PA. ",8,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Branch Manager,Mumbai
Network Administrator," 5,00,000 - 8,00,000 PA. ",3,"Network Configuration, Firewall, Troubleshooting, Server Management",Network Administrator,Gurgaon
Mobile Application Developer," 2,50,000 - 4,00,000 PA. ",3,"Flutter, React Native, Android/iOS Development, API Integration",Software Developer,Kolkata
Operation," 4,00,000 - 9,00,000 PA. ",3,"Operations Management, Coordination, Process Handling, Reporting",Operations Manager,Mumbai
Product Manager," 9,00,000 - 15,00,000 PA. ",5,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",Product Manager,Mumbai
Business Development Executive," 1,75,000 - 2,75,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Bengaluru
Senior Process Executive," 2,00,000 - 4,50,000 PA. ",1,"Process Improvement, Operations Management, Reporting, SLA Management",Senior Associate -(NonTechnical),Bengaluru
Marketing Executive," 1,75,000 - 4,50,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Sales Executive,Delhi
Java Developer," 1,50,000 - 2,00,000 PA. ",0,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Gurgaon
Business Development Manager," 3,50,000 - 6,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales / Business Development Manager,Mumbai
Sales Coordinator," 1,25,000 - 2,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Coordinator,Mumbai
Technical Sales Executive," 2,00,000 - 5,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Senior Associate -(Technical),Gurgaon
Assistant Manager Operations," 9,50,000 - 11,00,000 PA. ",8,"Operations Support, Process Improvement, Team Supervision, Reporting",Warehouse Manager,Bengaluru
Product Manager," 8,00,000 - 10,00,000 PA. ",5,"Product Strategy, Roadmap Planning, Market Research, Agile, Stakeholder Communication",Product / Brand Manager,Mumbai
Chef De Partie," 3,00,000 - 4,25,000 PA. ",5,"Food Preparation, Kitchen Supervision, HACCP, Culinary Skills, Inventory Management",Chef De Partis,Chennai
Premier Acquisition Manager," 3,00,000 - 7,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Business Development-Manager,Mumbai
Senior Accountant," 3,00,000 - 4,50,000 PA. ",8,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Hyderabad
UI UX Designer," 3,50,000 - 8,00,000 PA. ",3,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",Graphic Designer,Noida
Android Developer," 3,75,000 - 5,50,000 PA. ",2,"Android SDK, Java, Kotlin, Mobile App Development, Firebase",Software Developer,Kolkata
Production Supervisor," 5,00,000 - 10,00,000 PA. ",3,"Production Planning, Team Supervision, Quality Control, Safety Compliance",Production Manager,Ahmedabad
Web Designer," 3,00,000 - 5,00,000 PA. ",2,"HTML, CSS, Adobe XD, Figma, UI/UX Design, Responsive Design",Web Designer,Delhi
Medical Officer," 5,00,000 - 6,00,000 PA. ",0,"Patient Care, Medical Diagnosis, Treatment Planning, Medical Reporting",Medical Officer,Bengaluru
Big Data Developer," 6,00,000 - 15,00,000 PA. ",4,"Hadoop, Spark, Hive, Pig, ETL, Data Engineering",Software Developer,Hyderabad
Inside Sales Manager," 4,00,000 - 8,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Gurgaon
Sales Executive," 2,00,000 - 3,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Chennai
Head," 17,00,000 - 25,00,000 PA. ",8,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head / GM-Finance,Bengaluru
Team Leader," 1,75,000 - 3,00,000 PA. ",1,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader -(NonTechnical),Delhi
Business Development Executive," 2,00,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Gurgaon
General Manager," 6,00,000 - 12,00,000 PA. ",6,"Strategic Operations, Team Leadership, Business Planning, Budget Management",Regional Sales Manager,Ahmedabad
Sr. Sales Executive," 1,25,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Noida
HR Executive," 3,00,000 - 4,00,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Bengaluru
Hindi Call Center BPO," 1,75,000 - 3,75,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",Fresher,Delhi
